"","F_CODE","NAME_EN"
"1","18","Arctic Sea"
"2","61","Pacific, Northwest"
"3","67","Pacific, Northeast"
"4","37","Mediterranean and Black Sea"
"5","27","Atlantic, Northeast"
"6","31","Atlantic, Western Central"
"7","34","Atlantic, Eastern Central"
"8","51","Indian Ocean, Western"
"9","57","Indian Ocean, Eastern"
"10","71","Pacific, Western Central"
"11","87","Pacific, Southeast"
"12","41","Atlantic, Southwest"
"13","81","Pacific, Southwest"
"14","58","Indian Ocean, Antarctic"
"15","48","Atlantic, Antarctic"
"16","88","Pacific, Antarctic"
"17","77","Pacific, Eastern Central"
"18","47","Atlantic, Southeast"
"19","21","Atlantic, Northwest"
