Sci_Name_Match,species_name,group_name
Acanthopagrus,porgies,other_fish
Acetes ,shrimp,invertebrates
Acipenser ,sturgeon,other_fish
Acipenseridae,sturgeon,other_fish
Actinopterygii,general_fish,other_fish
Actinopyga,sea_cucumber,invertebrates
Aequipecten ,scallops,invertebrates
Alaria ,general_seaweed,seaweed_plants
Albula ,bonefishes,other_fish
Algae,general_seaweed,seaweed_plants
Aliger,conch,invertebrates
Alitta ,general_invertebrates,invertebrates
Ameiurus ,catfish,other_fish
Anadara ,clams,invertebrates
Anarhichas ,wolffish,other_fish
Anguilla ,eels,other_fish
Apostichopus,sea_cucumber,invertebrates
Arenicola ,general_invertebrates,invertebrates
Argopecten ,scallops,invertebrates
Argyrosomus,meagres,other_fish
Ariidae,catfish,other_fish
Artemia ,shrimp,invertebrates
Asaphis ,clams,invertebrates
Ascidiacea,sea_squirts,invertebrates
Asparagopsis ,general_seaweed,seaweed_plants
Astacidae,crayfish,invertebrates
Atherina ,silversides,other_fish
Atherinidae,silversides,other_fish
Atrina ,general_bivalves,invertebrates
Atropus ,trevally,other_fish
Aulacomya,mussels,invertebrates
Bagridae,catfish,other_fish
Barbonymus ,barbs,other_fish
Bivalvia,general_bivalves,invertebrates
Bolbometopon,parrotfish,other_fish
Boleophthalmus ,mudskipper,other_fish
Bolinus ,snails,invertebrates
Bothidae,flatfish,other_fish
Brachyura,crabs,invertebrates
Callinectes ,crabs,invertebrates
Cambaridae,crayfish,invertebrates
Cantherhines ,filefish,other_fish
Capsosiphon ,general_seaweed,seaweed_plants
Carangidae,jack_pompano,other_fish
Caranx,trevally,other_fish
Carcinus,crabs,invertebrates
Cardiidae,cockles,invertebrates
Carpilius ,crabs,invertebrates
Caulerpa,general_seaweed,seaweed_plants
Centropomus ,snooks,other_fish
Centropristis ,bass,other_fish
Cephalopholis ,grouper,other_fish
Cerastoderma ,cockles,invertebrates
Chaetodipterus ,spadefishes,other_fish
Chamelea ,clams,invertebrates
Channa ,snakeheads,other_fish
